Species_code,Log2_Body_size,Volume,SV,MLD,Flagella,Silice,Mucilage,Aerotopes,MBFG,Biovolume,Category
1,6,79.17,3.4,70,0,0,0,0,IV,344.33,DS
2,8,212.06,2.7,120,0,0,0,0,IV,8.16,DS
3,6,57.74,3.1,43.5,0,0,0,0,IV,21.43,DS
4,5,31.81,2.8,19,0,0,0,0,IV,80.44,DS
5,6,84.29,3.7,88.7,0,0,0,0,IV,62.57,DS
6,11,1570.8,1,125,0,0,0,1,III,12753.08,DS
7,10,1256.64,1,100,0,0,0,1,III,0,DS
8,11,2428.92,0.9,140,0,0,0,1,III,0,DS
9,10,1361.88,1.2,150,0,0,0,0,IV,2000.92,DS
10,8,301.72,1.5,49,0,0,0,0,IV,831.01,DS
11,7,113.1,2.7,64,0,0,0,0,IV,5292.6,DS
12,10,785.4,2,250,0,0,0,0,IV,16590.22,DS
13,4,21.21,4.1,27,0,0,0,0,IV,37.36,DS
14,7,125.66,2.1,40,0,0,0,0,IV,50.22,DS
15,5,31.16,3.5,30,0,0,0,0,IV,43.86,DS
16,5,32.27,1.5,3.95,0,0,0,0,IV,740.19,DS
17,2,4.19,3,4,0,0,0,0,I,11.82,DS
18,4,22.45,1.7,3.5,0,0,0,0,I,14.58,DS
19,3,8.38,2.6,4,0,0,0,0,I,14.02,DS
20,2,4.19,3,2,0,0,0,0,I,5.21,DS
21,7,169.65,2,15,0,0,1,0,VII,136.55,DS
22,7,171.57,1.9,13,0,0,1,0,VII,204.04,DS
23,6,83.8,3,15,0,0,1,0,VII,0,DS
24,8,343,0.9,20,0,0,1,0,VII,38.26,DS
25,11,2828.61,1.15,294,0,0,0,0,IV,20313.84,DS
26,10,981.75,1.6,200,0,0,0,0,IV,3834.68,DS
27,9,568.63,2,181,0,0,0,0,IV,9307.49,DS
28,10,1011.2,1.6,206,0,0,0,0,IV,32830.55,DS
29,8,213.63,2,68,0,0,0,0,IV,79.29,DS
30,7,176.71,2.7,100,0,0,0,0,IV,3976.95,DS
31,7,106.19,3.1,80,0,0,0,0,IV,820.79,DS
32,8,254.47,2.2,100,0,0,0,0,IV,2195.78,DS
33,8,282.74,1.4,40,0,0,0,0,IV,410.08,DS
34,7,141.37,1.4,20,0,0,0,0,IV,0,DS
35,8,184.49,1.4,26.1,0,0,0,0,IV,0,DS
36,6,84.95,1.7,16,0,0,0,0,IV,31.53,DS
37,10,1263.56,0.7,49,0,1,0,0,VI,576.47,DS
38,12,5657.22,0.6,147,0,1,0,0,VI,4167.2,DS
39,12,4834.91,0.5,76,0,1,0,0,VI,178.52,DS
40,9,716.75,0.6,15,0,1,0,0,VI,2416.88,DS
41,9,410.54,0.8,12,0,1,0,0,VI,1070.46,DS
42,8,190.07,1,8,0,1,0,0,VI,221.8,DS
43,14,17241.06,0.2,28,0,1,0,0,VI,5775.77,DS
44,12,5195.41,0.6,135,0,1,0,0,VI,191.83,DS
45,13,8812.17,0.3,68,0,1,0,0,VI,2288.96,DS
46,9,569.41,0.9,29,0,1,0,0,VI,186.7,DS
47,7,160.22,1.3,17,0,1,0,0,VI,60.66,DS
48,7,98.96,1.8,21,0,1,0,0,VI,171.81,DS
49,6,48.69,3.06,31,0,1,0,0,VI,1.83,DS
50,8,340.94,1.1,30,0,1,0,0,VI,261.86,DS
51,13,9433,0.3,64,0,1,0,0,VI,11809.28,DS
52,8,226.19,1.2,18,0,1,0,0,VI,0,DS
53,9,647.95,0.9,33,0,1,0,0,VI,3246.49,DS
54,10,730.42,0.8,31,0,1,0,0,VI,793.23,DS
55,10,989.6,0.7,36,0,1,0,0,VI,1969.3,DS
56,9,486.95,1,31,0,1,0,0,VI,1532.81,DS
57,11,1526.81,0.5,27,0,1,0,0,VI,1568.61,DS
58,6,78.59,1.6,27,0,1,0,0,VI,436.43,DS
59,7,150.05,1.2,31,0,1,0,0,VI,3780.94,DS
60,7,139.94,1.3,33,0,1,0,0,VI,1577.64,DS
61,10,758.69,0.7,23,0,1,0,0,VI,988.2,DS
62,8,212.06,1.2,18,0,1,0,0,VI,12.72,DS
63,13,8278.1,0.3,61.91,0,1,0,0,VI,4736.46,DS
64,10,966,1,46,0,1,0,0,VI,0,DS
65,11,2660.93,0.5,44,0,1,0,0,VI,5817.48,DS
66,9,546.64,0.9,28.6,0,1,0,0,VI,1757.57,DS
67,10,1286.48,0.6,25.9,0,1,0,0,VI,4008.41,DS
68,10,1060.29,0.6,25,0,1,0,0,VI,437.9,DS
69,12,2937.39,0.4,34.3,0,1,0,0,VI,5336.53,DS
70,9,395.84,1.2,41.7,0,1,0,0,VI,755.98,DS
71,7,98.96,1.8,21,0,1,0,0,VI,18.03,DS
72,14,13589.61,0.3,71,0,1,0,0,VI,40024.01,DS
73,13,6013.02,0.4,49.3,0,1,0,0,VI,11640.98,DS
74,13,10449.07,0.3,48.7,0,1,0,0,VI,964.53,DS
75,14,16760.29,0.3,64.4,0,1,0,0,VI,0,DS
76,14,18746.07,0.3,62.3,0,1,0,0,VI,0,DS
77,9,659.73,0.8,21,0,1,0,0,VI,12.37,DS
78,11,1520.53,0.5,16,0,1,0,0,VI,358.28,DS
79,12,4002.39,0.4,26,0,1,0,0,VI,895.54,DS
80,14,19045.73,0.4,160.9,0,1,0,0,VI,32026.13,DS
81,14,13845.78,0.3,61,0,1,0,0,VI,0,DS
82,11,2660.93,0.5,43.8,0,1,0,0,VI,6790.9,DS
83,11,2544.69,0.5,40,0,1,0,0,VI,3232.33,DS
