spp,V,SV,MLD,Flagella,Silice,Mucilage,Aerotopes
Geitlerinema_sp.,79.17,3.4,70,0,0,0,0
Geitlerinema_sp2,212.06,2.7,120,0,0,0,0
Geitlerinema_sp3,57.74,3.1,43.5,0,0,0,0
Komvophoron_sp.,31.81,2.8,19,0,0,0,0
Jaaginema_sp.,84.29,3.7,88.7,0,0,0,0
Limnothrix_sp1,1570.8,1,125,0,0,0,1
Limnothrix_sp2,1256.64,1,100,0,0,0,1
Limnothrix_sp3,2428.92,0.9,140,0,0,0,1
Oscillatoria_sp1,1361.88,1.2,150,0,0,0,0
Oscillatoria_sp2,301.72,1.5,49,0,0,0,0
Pseudanabaena_limnetica,113.1,2.7,64,0,0,0,0
Pseudanabaena_catenata,785.4,2,250,0,0,0,0
cf.Raphidiopsis,21.21,4.1,27,0,0,0,0
Romeria_sp.,125.66,2.1,40,0,0,0,0
cf.Spirulina,31.16,3.5,30,0,0,0,0
Synechocystis_aquatilis,32.27,1.5,3.95,0,0,0,0
Synechococcus_sp.,4.19,3,4,0,0,0,0
Chroococcus_sp.,22.45,1.7,3.5,0,0,0,0
cf.Cyanobium_sp.,8.38,2.6,4,0,0,0,0
Chroococcales_unicelular_1,4.19,3,2,0,0,0,0
Chroococcales_colonial_1,169.65,2,15,0,0,1,0
Chroococcales_colonial_3,171.57,1.9,13,0,0,1,0
Chroococcales_colonial_4,83.8,3,15,0,0,1,0
Merismopedia_sp,343,0.9,20,0,0,1,0
Pseudanabaena_sp1,2828.61,1.15,294,0,0,0,0
Pseudanabaena_sp2,981.75,1.6,200,0,0,0,0
Pseudanabaena_sp3,568.6296,2,181,0,0,0,0
Pseudanabaena_sp4,1011.2,1.6,206,0,0,0,0
Pseudanabaena_sp5,213.63,2,68,0,0,0,0
Pseudanabaenaceae_1,176.71,2.7,100,0,0,0,0
Pseudanabaenaceae_2,106.19,3.1,80,0,0,0,0
Pseudanabaenaceae_7,254.47,2.2,100,0,0,0,0
Oscillatoriales_1,282.74,1.4,40,0,0,0,0
Oscillatoriales_2,141.37,1.4,20,0,0,0,0
Oscillatoriales_4,184.49,1.4,26.1,0,0,0,0
Oscillatoriales_6,84.95,1.7,16,0,0,0,0
Aulacoseira_granulata,1263.56,0.7,49,0,1,0,0
Aulacoseira_sp1,5657.22,0.6,147,0,1,0,0
Aulacoseira_sp2,4834.91,0.5,76,0,1,0,0
Cyclotella_cf.meneghiniana,716.75,0.6,15,0,1,0,0
Cyclotella_sp2,410.54,0.8,12,0,1,0,0
Cyclotella_sp3,190.07,1,8,0,1,0,0
Melosira_sp1,17241.06,0.2,28,0,1,0,0
Centrales_1,5195.41,0.6,135,0,1,0,0
Achnanthes_inflata,8812.17,0.3,68,0,1,0,0
Achnanthes_cf.rupestoides,569.41,0.9,29,0,1,0,0
Achnanthes_sp1,160.22,1.3,17,0,1,0,0
Achnanthes_sp2,98.96,1.8,21,0,1,0,0
cf.Achnanthidium_sp,48.69,3.06,31,0,1,0,0
Amphora_sp.,340.94,1.1,30,0,1,0,0
Cymbela_sp.,9433,0.3,64,0,1,0,0
cf.Encyonema,226.19,1.2,18,0,1,0,0
Fragillaria_capucina,647.95,0.9,33,0,1,0,0
Fragillaria_capucina_var.gracilis,730.42,0.8,31,0,1,0,0
Fragillaria_capucina_cf.var.fragilarioides,989.6,0.7,36,0,1,0,0
Fragillaria_sp.,486.95,1,31,0,1,0,0
cf.Frustulia,1526.81,0.5,27,0,1,0,0
Gomphonema_augur,78.59,1.6,27,0,1,0,0
Gomphonema_cf.olivaceum,150.05,1.2,31,0,1,0,0
Gomphonema_cf.truncatum,139.94,1.3,33,0,1,0,0
Gomphonema_sp1,758.69,0.7,23,0,1,0,0
Gomphonema_sp2,212.06,1.2,18,0,1,0,0
Gyrosigma/Pleurosigma,8278.1,0.3,61.91,0,1,0,0
Hantszchia_sp.,966,1,46,0,1,0,0
Navicula_sp1,2660.93,0.5,44,0,1,0,0
Navicula_sp2,546.64,0.9,28.6,0,1,0,0
Navicula_sp3,1286.48,0.6,25.9,0,1,0,0
Navicula_sp4,1060.29,0.6,25,0,1,0,0
Naviculales,2937.39,0.4,34.3,0,1,0,0
Nitzschia_sp1,395.84,1.2,41.7,0,1,0,0
Nitzschia_sp2,98.96,1.8,21,0,1,0,0
Pinnularia_sp_1,13589.61,0.3,71,0,1,0,0
Pinnularia_sp2,6013.02,0.4,49.3,0,1,0,0
Pinullaria_sp4,10449.07,0.3,48.7,0,1,0,0
Pinullaria_sp6,16760.29,0.3,64.4,0,1,0,0
Pinnularia_sp_7,18746.07,0.3,62.3,0,1,0,0
Stauroneis_borrichii,659.73,0.8,21,0,1,0,0
Surirella_cf.minuta,1520.53,0.5,16,0,1,0,0
Surirella_sp1,4002.39,0.4,26,0,1,0,0
Synedra_sp.,19045.73,0.4,160.9,0,1,0,0
cf.Urosolenia,13845.78,0.3,61,0,1,0,0
Pennales_1,2660.93,0.5,43.8,0,1,0,0
Pennales_2,2544.69,0.5,40,0,1,0,0
Pennales_3,1237,0.6,24.7,0,1,0,0
Pennales_4,2353.84,0.5,37,0,1,0,0
Pennales_5,1357.17,0.6,27,0,1,0,0
Penales_6_,7861.84,0.3,55,0,1,0,0
Pennales_7,1696.46,0.5,30,0,1,0,0
Pennales_9,348.72,1.2,37,0,1,0,0
Pennales_10,753.98,0.7,19.6,0,1,0,0
Pennales_11,94.25,1.3,8,0,1,0,0
Pennales_12,1005.31,0.6,20,0,1,0,0
Pennales_13,824.67,0.8,29.7,0,1,0,0
Actinastrum_sp.,115.2,1.9,16,0,0,0,0
Actinastrum_cf.hantzchii,388.75,1.2,25,0,0,0,0
Ankistrodesmus_sp.,578.58,2,37.5,0,0,0,0
Chlorella_sp1,65.45,1.2,5,0,0,0,0
Chlorella_sp_2,46.77,1.34,4.47,0,0,0,0
Chlorella_sp3,87.11,1.1,5.5,0,0,0,0
Coelastrum_sp.,8181.23,0.2,25,0,0,0,0
Crucigenia_fenestrata,217.8,1,6.05,0,0,0,0
Crucigenia_sp2,198,1,5.5,0,0,0,0
Crucigeniella_sp.,1139.04,0.6,13.56,0,0,0,0
Desmodesmus_quadricauda,188.5,1.6,9.6,0,0,0,0
Desmodesmus_sp1,301.59,1.3,8.6,0,0,0,0
Desmodesmus_sp2,469.14,1.2,14.4,0,0,0,0
Desmodesmus_sp3,113.1,1.7,5.9,0,0,0,0
Desmodesmus_sp4,94.25,1.76,5,0,0,0,0
Desmodesmus_sp5,418.88,1.1,8,0,0,0,0
Dictyosphaerium_sp.,112.25,1.7,3.5,0,0,1,0
cf.Koliella_sp.,6.54,2.8,4,0,0,0,0
Monoraphidium_arcuatum,14.84,3.4,17.5,0,0,0,0
Monoraphidium_contortum,7.74,4.6,17.5,0,0,0,0
Monoraphidium_convolutum,9.33,3.4,11,0,0,0,0
Monoraphidium_komarkovae,23.56,4,40,0,0,0,0
Monoraphidium_minutum,18.85,2.1,8,0,0,0,0
Oocystis_sp1,384.85,0.7,15,0,0,0,0
Oocystis_sp2,150.8,0.9,8.2,0,0,0,0
Oocystis_sp3,1140.4,0.5,18.3,0,0,0,0
Pandorina_sp.,1415.81,0.4,15.7,0,0,0,0
Pediastrum_sp1,5717.7,0.9,56,0,0,0,0
Pediastrum_sp2,3518.58,1.3,50,0,0,0,0
Scenedesmus_sp1,301.59,1.3,8.9,0,0,0,0
Scenedesmus_sp2,234.57,1.2,13.5,0,0,0,0
Scenedesmus_sp3,829.38,0.9,10.6,0,0,0,0
Scenedesmus_sp_4,50.27,2.5,5.97,0,0,0,0
Chlorococcales_1,69.46,1.2,5.1,0,0,0,0
Chlorococcales_2,212.17,0.8,7.4,0,0,0,0
Chlorococcales_3,33.51,1.5,4,0,0,0,0
Chlorococcales_4,47.4,1.34,4.49,0,0,0,0
Chlorococcales_5,235.62,1.1,51.18,0,0,1,0
Chlorococcales_6,2822.2,0.8,15,0,0,1,0
Chlorococcales_7,293.22,1.3,17,0,0,1,0
cf.Cryptomonas_sp1,785.4,0.5,14.7,1,0,0,0
cf.Cryptomonas_sp2,551.35,0.6,12.8,1,0,0,0
Cryptophyceae_1,837.76,0.5,16,1,0,0,0
Cryptophyceae_2,368.61,0.7,11,1,0,0,0
Cryptophyceae_3,188.5,0.9,10,1,0,0,0
Cosmarium_sp.,1256.64,0.6,12,0,0,0,0
Staurastrum_sp.,751.36,1,14.2,0,0,0,0
Staurodesmus_sp.,1118.41,0.8,35,0,0,0,0
Dinobryon_sp.,814.97,0.7,38,0,0,0,0
Euglena_sp1,23882.41,0.2,60.54,1,0,0,0
Euglena_sp2,2508.11,0.3,30.53,1,0,0,0
Euglena_sp3,31864.56,0.1,59.11,1,0,0,0
Phacus_sp.,3951.34,0.8,42.63,1,0,0,0
Strombomonas_sp.,523.6,0.6,10,1,0,0,0
Trachelomonas_sp.,1436.76,0.4,14,1,0,0,0
Flagellates_1,31.06,1.54,3.9,1,0,0,0
Flagellates_2,77.95,1.13,5.3,1,0,0,0
