species_code,Biomass,Distinc,Clump,factor
12,0.2,1,C1,Dry season
26,0.05,0.77,C1,Dry season
27,0.11,0.84,C1,Dry season
28,0.4,0.79,C1,Dry season
40,0.03,0.46,C1,Dry season
46,0,0.44,C1,Dry season
53,0.04,0.44,C1,Dry season
54,0.01,0.44,C1,Dry season
55,0.02,0.45,C1,Dry season
61,0.01,0.44,C1,Dry season
64,0,0.45,C1,Dry season
66,0.02,0.44,C1,Dry season
77,0,0.44,C1,Dry season
90,0,0.45,C1,Dry season
92,0.02,0.46,C1,Dry season
93,0,0.44,C1,Dry season
96,0,0.51,C1,Dry season
125,0,0,C1,Dry season
134,0.03,0.84,C1,Dry season
135,0.01,0.81,C1,Dry season
136,0.01,0.83,C1,Dry season
140,0.04,0,C1,Dry season
142,0,0,C1,Dry season
147,0.01,0.82,C1,Dry season
43,0.07,0.46,C2,Dry season
75,0,0.42,C2,Dry season
76,0,0.37,C2,Dry season
80,0.39,0.64,C2,Dry season
143,0.23,0.83,C2,Dry season
145,0.3,1,C2,Dry season
121,0.33,1,C1,Wet season
261,0.01,0.77,C1,Wet season
271,0.04,0.84,C1,Wet season
281,0.21,0.79,C1,Wet season
401,0.04,0.46,C1,Wet season
461,0,0.44,C1,Wet season
531,0.04,0.44,C1,Wet season
541,0,0.44,C1,Wet season
551,0,0.45,C1,Wet season
611,0.09,0.44,C1,Wet season
641,0.01,0.45,C1,Wet season
661,0,0.44,C1,Wet season
771,0,0.44,C1,Wet season
901,0,0.45,C1,Wet season
921,0.04,0.46,C1,Wet season
931,0,0.44,C1,Wet season
961,0,0.51,C1,Wet season
1251,0,0,C1,Wet season
1341,0.02,0.84,C1,Wet season
1351,0,0.81,C1,Wet season
1361,0.06,0.83,C1,Wet season
1401,0.07,0,C1,Wet season
1421,0.01,0,C1,Wet season
1471,0,0.82,C1,Wet season
431,0.14,0.46,C2,Wet season
751,0.14,0.42,C2,Wet season
761,0.15,0.37,C2,Wet season
801,0.3,0.64,C2,Wet season
1431,0.06,0.83,C2,Wet season
1451,0.22,1,C2,Wet season
122,0.44,1,C1,Upper course
262,0.03,0.77,C1,Upper course
272,0.1,0.84,C1,Upper course
282,0.32,0.79,C1,Upper course
402,0,0.46,C1,Upper course
462,0,0.44,C1,Upper course
532,0.02,0.44,C1,Upper course
542,0,0.44,C1,Upper course
552,0,0.45,C1,Upper course
612,0.02,0.44,C1,Upper course
642,0,0.45,C1,Upper course
662,0.01,0.44,C1,Upper course
772,0,0.44,C1,Upper course
902,0,0.45,C1,Upper course
922,0.01,0.46,C1,Upper course
932,0,0.44,C1,Upper course
962,0,0.51,C1,Upper course
1252,0,0,C1,Upper course
1342,0.01,0.84,C1,Upper course
1352,0,0.81,C1,Upper course
1362,0.04,0.83,C1,Upper course
1402,0,0,C1,Upper course
1422,0,0,C1,Upper course
1472,0,0.82,C1,Upper course
432,0,0.46,C2,Upper course
752,0,0.42,C2,Upper course
762,0,0.37,C2,Upper course
802,0.45,0.64,C2,Upper course
1432,0.55,0.83,C2,Upper course
1452,0,1,C2,Upper course
123,0.16,1,C1,Medium course
263,0.04,0.77,C1,Medium course
273,0.1,0.84,C1,Medium course
283,0.29,0.79,C1,Medium course
403,0.05,0.46,C1,Medium course
463,0,0.44,C1,Medium course
533,0.05,0.44,C1,Medium course
543,0.01,0.44,C1,Medium course
553,0.03,0.45,C1,Medium course
613,0.05,0.44,C1,Medium course
643,0,0.45,C1,Medium course
663,0.02,0.44,C1,Medium course
773,0,0.44,C1,Medium course
903,0,0.45,C1,Medium course
923,0.03,0.46,C1,Medium course
933,0,0.44,C1,Medium course
963,0,0.51,C1,Medium course
1253,0,0,C1,Medium course
1343,0.04,0.84,C1,Medium course
1353,0,0.81,C1,Medium course
1363,0.02,0.83,C1,Medium course
1403,0.09,0,C1,Medium course
1423,0.01,0,C1,Medium course
1473,0.01,0.82,C1,Medium course
433,0.14,0.46,C2,Medium course
753,0,0.42,C2,Medium course
763,0.1,0.37,C2,Medium course
803,0.3,0.64,C2,Medium course
1433,0.19,0.83,C2,Medium course
1453,0.27,1,C2,Medium course
124,0.08,1,C1,Lower course
264,0.01,0.77,C1,Lower course
274,0.02,0.84,C1,Lower course
284,0.5,0.79,C1,Lower course
404,0.04,0.46,C1,Lower course
464,0,0.44,C1,Lower course
534,0.06,0.44,C1,Lower course
544,0.02,0.44,C1,Lower course
554,0.01,0.45,C1,Lower course
614,0.03,0.44,C1,Lower course
644,0.01,0.45,C1,Lower course
664,0.02,0.44,C1,Lower course
774,0,0.44,C1,Lower course
904,0.01,0.45,C1,Lower course
924,0.08,0.46,C1,Lower course
934,0,0.44,C1,Lower course
964,0,0.51,C1,Lower course
1254,0,0,C1,Lower course
1344,0.02,0.84,C1,Lower course
1354,0.02,0.81,C1,Lower course
1364,0.02,0.83,C1,Lower course
1404,0.04,0,C1,Lower course
1424,0.01,0,C1,Lower course
1474,0,0.82,C1,Lower course
434,0.05,0.46,C2,Lower course
754,0.12,0.42,C2,Lower course
764,0,0.37,C2,Lower course
804,0.43,0.64,C2,Lower course
1434,0.08,0.83,C2,Lower course
1454,0.32,1,C2,Lower course
